,RBF,Matern52,Linear,Exponential,Custom1,Custom2,Custom3
[],"{'mae_list': [1.5605015281117998, 0.4696616153933537, 0.49005880620084635, 0.47784870298735777, 0.4323676341594105, 0.49721397720945354, 1.536366768253019, 0.4858930619565566], 'mse_list': [3.647534180042419, 0.4565896995646643, 0.4151533360680478, 0.503086809938843, 0.37475184202605094, 0.45064018844878795, 3.655921780786826, 0.46412982319456497], 'rmse_list': [1.9098518738484456, 0.6757142144166158, 0.6443239372148514, 0.70928612698885, 0.6121697820262374, 0.6712973919573857, 1.9120464902263297, 0.6812707414784265], 'mean_mae': 0.7437, 'std_mae': 0.465, 'mean_mse': 1.246, 'std_mse': 1.3894, 'mean_rmse': 0.977, 'std_rmse': 0.5399}","{'mae_list': [0.3937204524108317, 1.586306369481891, 0.4120228201434633, 0.40586849277229875, 0.43487158418455873, 0.5006784003969914, 0.4273128199591653, 0.43034663637428777], 'mse_list': [0.3256116816294708, 3.6771415414504953, 0.347106337774584, 0.3262544352239095, 0.37937967519426985, 0.46888823846467703, 0.3404566682714987, 0.35506369351983746], 'rmse_list': [0.5706239406382024, 1.9175874273290632, 0.5891573115684673, 0.5711868654161346, 0.6159380449316878, 0.684754144539978, 0.58348664789479, 0.5958722124078597], 'mean_mae': 0.5739, 'std_mae': 0.3838, 'mean_mse': 0.7775, 'std_mse': 1.0968, 'mean_rmse': 0.7661, 'std_rmse': 0.4366}","{'mae_list': [1.3513150155116458, 3.4961301788287833, 3.0852919918453403, 3.21120727453897, 1.3690244271689829, 3.2201509001167015, 3.4484849043802313, 3.239922109972786], 'mse_list': [2.7463087118765843, 15.187807615886442, 12.054510313432228, 12.986157350683161, 2.7979280581645107, 13.0525752158658, 14.806894499648223, 13.20023828960656], 'rmse_list': [1.657199056201935, 3.8971537839667607, 3.4719605863880756, 3.603631134103928, 1.6727008274537651, 3.6128347894507717, 3.8479727779245296, 3.6332132182967958], 'mean_mae': 2.8027, 'std_mae': 0.842, 'mean_mse': 10.8541, 'std_mse': 4.7614, 'mean_rmse': 3.1746, 'std_rmse': 0.881}","{'mae_list': [0.431729521408075, 0.4354672771893283, 0.4361435128020571, 0.39736232516357284, 0.39004714500834337, 0.4568147987391647, 0.4478141618052587, 0.4419734748003822], 'mse_list': [0.37443752669679536, 0.3733256837069511, 0.3763167420238375, 0.3783457425066733, 0.28599188343532844, 0.42171873066928844, 0.44308484590789493, 0.3844888577626645], 'rmse_list': [0.6119130058241902, 0.611003832808724, 0.6134466089431398, 0.6150981568064346, 0.5347820896732878, 0.6493987455094816, 0.6656461867297784, 0.6200716553453032], 'mean_mae': 0.4297, 'std_mae': 0.0221, 'mean_mse': 0.3797, 'std_mse': 0.0428, 'mean_rmse': 0.6152, 'std_rmse': 0.0358}","{'mae_list': [0.4289485892898858, 0.48769089731166826, 0.4359788034178407, 0.4642123096997902, 0.45609229768327075, 0.4581256710336842, 1.6028924856581759, 0.44257123800066867], 'mse_list': [0.34832217960037365, 0.46169711670725194, 0.4039630346070387, 0.45897404344491927, 0.43230414667804634, 0.3979931994905562, 3.7018960955527698, 0.35892063243996997], 'rmse_list': [0.5901882577621937, 0.6794829774963107, 0.6355808639402533, 0.6774762309077118, 0.657498400513679, 0.6308670220344033, 1.924031209609857, 0.5990998518110066], 'mean_mae': 0.5971, 'std_mae': 0.3806, 'mean_mse': 0.8205, 'std_mse': 1.0898, 'mean_rmse': 0.7993, 'std_rmse': 0.4262}","{'mae_list': [0.49583159820126305, 0.4819828783834695, 0.4213056983795901, 0.4094838746756594, 0.9419550500216716, 0.47348499392171906, 0.46636957390750294, 0.48881639586751346], 'mse_list': [0.43588248787203765, 0.4570796339142544, 0.3934807145211525, 0.3252682773080064, 1.3400812632076584, 0.42080312134740033, 0.45751872823749573, 0.4547907526849892], 'rmse_list': [0.6602139712790375, 0.6760766479580953, 0.627280411396014, 0.5703229587768727, 1.1576187901065094, 0.6486933954861883, 0.6764013070932786, 0.6743817558957161], 'mean_mae': 0.5224, 'std_mae': 0.1612, 'mean_mse': 0.5356, 'std_mse': 0.3069, 'mean_rmse': 0.7114, 'std_rmse': 0.1719}","{'mae_list': [1.658074911198892, 1.7057914636684106, 0.48283699754593207, 1.6371558702421636, 1.741424516686269, 0.4657560023484144, 1.7205406043784286, 0.453602882541351], 'mse_list': [3.803679827398296, 3.922397082419759, 0.49608773038608744, 3.7620674774184457, 4.0343459667383055, 0.37515525291030055, 3.9663519034702994, 0.3463220458758998], 'rmse_list': [1.950302496383137, 1.9805042495333756, 0.7043349561012058, 1.939604979736453, 2.0085681384355136, 0.6124991860486841, 1.9915702105299475, 0.5884913303319768], 'mean_mae': 1.2331, 'std_mae': 0.594, 'mean_mse': 2.5883, 'std_mse': 1.6929, 'mean_rmse': 1.472, 'std_rmse': 0.6493}"
['feels_like'],"{'mae_list': [0.7458913375157983, 0.9079940579458394, 1.212501704135665, 0.9860425828462943, 0.7390349753239359, 0.9221173140951527, 1.036772120657299, 0.7578564532746179], 'mse_list': [1.2413920426172604, 1.480598039359228, 2.569105682718375, 1.8652255237282913, 1.0503123325475858, 1.4646142914524616, 2.0639637651823106, 1.124359861585835], 'rmse_list': [1.1141777428297788, 1.2167982738972092, 1.6028430000216414, 1.3657325959822044, 1.024847467942223, 1.2102124984697777, 1.4366501888707321, 1.0603583646983858], 'mean_mae': 0.9135, 'std_mae': 0.1552, 'mean_mse': 1.6074, 'std_mse': 0.4891, 'mean_rmse': 1.254, 'std_rmse': 0.1872}","{'mae_list': [0.8715906414269265, 0.7610840438591975, 0.7279718722137726, 0.9064407010316927, 0.7615539759905986, 0.7099968636558975, 0.6912034941039301, 0.7269319551022687], 'mse_list': [1.3063310564966162, 1.161350731859673, 1.075113091309265, 1.6380322598424992, 1.2829527773799179, 1.0213727679382731, 1.0412305919970661, 1.039584130318098], 'rmse_list': [1.1429484050020002, 1.0776598405153979, 1.0368766037042523, 1.2798563434395671, 1.1326750537466241, 1.010629886723262, 1.0204070717106317, 1.0195999854443398], 'mean_mae': 0.7696, 'std_mae': 0.0729, 'mean_mse': 1.1957, 'std_mse': 0.1968, 'mean_rmse': 1.0901, 'std_rmse': 0.0864}","{'mae_list': [3.4193687672731787, 3.7516927285713626, 1.3482498637579499, 3.6711411871076924, 3.475675929850501, 1.3512684490718487, 1.5384237285714284, 2.94493038570282], 'mse_list': [14.57726859091927, 17.23251239867241, 2.734420637664359, 16.573432210985107, 15.023496449721087, 2.946305854206513, 3.6869809701020415, 11.039365617977875], 'rmse_list': [3.8180189353798744, 4.151206137819755, 1.6536083688903969, 4.071048048228503, 3.8760155378585734, 1.716480659432699, 1.920151288336948, 3.322554080519665], 'mean_mae': 2.6876, 'std_mae': 1.0138, 'mean_mse': 10.4767, 'std_mse': 5.9515, 'mean_rmse': 3.0661, 'std_rmse': 1.0371}","{'mae_list': [0.5923490710589626, 0.6693380579694725, 0.7938493502806873, 0.6579283224599383, 0.7701495761011753, 0.6861450272020595, 0.7217642289456049, 0.5974471429419873], 'mse_list': [0.7132862042589865, 0.8737398943865322, 1.12958291523318, 0.9255917792544877, 1.0899662452182648, 0.8690198082243654, 1.0812010793943543, 0.737468925468333], 'rmse_list': [0.8445627296175142, 0.9347405492362746, 1.0628183829955051, 0.9620768052782936, 1.0440144851573012, 0.9322123192837377, 1.0398081935599248, 0.8587601093834838], 'mean_mae': 0.6861, 'std_mae': 0.0686, 'mean_mse': 0.9275, 'std_mse': 0.1497, 'mean_rmse': 0.9599, 'std_rmse': 0.0783}","{'mae_list': [0.8389371688734291, 0.7345123916749332, 0.6551729028003364, 0.7377216357420655, 0.7781427424839819, 0.764834505655992, 0.9285115920067448, 0.9629395407916963], 'mse_list': [1.6801060683827362, 1.0848943253550514, 1.010795517863631, 1.224451313507929, 1.1503784358609122, 1.2031118832929824, 2.0247016316194544, 1.8610844126991781], 'rmse_list': [1.296189055802716, 1.041582606111993, 1.0053832691385067, 1.1065492820059706, 1.0725569615926756, 1.0968645692577468, 1.4229201072510904, 1.3642156767531952], 'mean_mae': 0.8001, 'std_mae': 0.0971, 'mean_mse': 1.4049, 'std_mse': 0.3647, 'mean_rmse': 1.1758, 'std_rmse': 0.1499}","{'mae_list': [0.7800240898967365, 1.6996113960086898, 1.5810510714285715, 3.7499071281257703, 3.4263470711346424, 1.4084838908636592, 3.3450146035999584, 3.520756471626204], 'mse_list': [1.123449588160503, 5.800896371653864, 3.672117434387755, 17.21778143070928, 14.632085544318022, 3.9739376336836285, 14.001717241822274, 15.431640813731594], 'rmse_list': [1.0599290486445323, 2.4085050076040666, 1.9162769722531645, 4.149431458731338, 3.8251909160613176, 1.9934737604703074, 3.7418868558285237, 3.9283127184239794], 'mean_mae': 2.4389, 'std_mae': 1.1057, 'mean_mse': 9.4817, 'std_mse': 6.0177, 'mean_rmse': 2.8779, 'std_rmse': 1.0952}","{'mae_list': [1.0663455262876769, 1.918106613678365, 0.6660170458098819, 3.5175182604152937, 3.267286296302155, 1.0215071210162345, 3.574990323280398, 1.55695014932448], 'mse_list': [1.8097240235493097, 5.800846465869522, 0.8630304949889238, 15.559614875061682, 13.486346930946617, 1.7438771307536605, 15.804988821103866, 3.6635143774099315], 'rmse_list': [1.345259834957288, 2.4084946472578097, 0.9289943460478777, 3.9445677678373943, 3.672376196816799, 1.3205594006911088, 3.975548870420771, 1.9140309238384658], 'mean_mae': 2.0736, 'std_mae': 1.1268, 'mean_mse': 7.3415, 'std_mse': 6.0903, 'mean_rmse': 2.4387, 'std_rmse': 1.1807}"
"['feels_like', 'temp_max']","{'mae_list': [1.1318515676066043, 0.7444814655268139, 1.0468746174287729, 0.9498645404797058, 0.9456675910471934, 0.6918655123193401, 0.7385933237851112, 0.9554303982526521], 'mse_list': [2.3166284793534535, 1.1435554031972808, 2.4578170719818173, 1.9024648658557664, 1.6491005349170722, 1.013122054673651, 0.938493571042259, 1.698062483794363], 'rmse_list': [1.5220474629108822, 1.0693714991513852, 1.567742667653661, 1.3792986862372365, 1.2841730938300615, 1.0065396438658794, 0.9687587785626817, 1.30309726566913], 'mean_mae': 0.9006, 'std_mae': 0.1485, 'mean_mse': 1.6399, 'std_mse': 0.5397, 'mean_rmse': 1.2626, 'std_rmse': 0.2137}","{'mae_list': [0.8800453180791197, 0.705888851824541, 1.05375781724996, 0.6823371452871791, 0.917337564554036, 0.984110853234159, 0.6272369602980962, 1.0189343880577757], 'mse_list': [1.5536390847307169, 0.8991193779120654, 2.2977839926563837, 0.8909073376943514, 1.561213577933855, 2.04973969107603, 0.7344798135363371, 1.9035957576540437], 'rmse_list': [1.2464505945807547, 0.9482190558684557, 1.515844316760921, 0.943878878720332, 1.2494853252174893, 1.4316911996223312, 0.8570179773705666, 1.3797085770748994], 'mean_mae': 0.8587, 'std_mae': 0.1547, 'mean_mse': 1.4863, 'std_mse': 0.5505, 'mean_rmse': 1.1965, 'std_rmse': 0.2337}","{'mae_list': [2.1220354999999875, 3.5319754349764376, 3.519652450594355, 3.5835932288165817, 1.6079373799878978, 1.5235939285714284, 3.273344840923029, 1.5249470397548275], 'mse_list': [5.763484949693812, 15.468843906505523, 15.372831049704164, 15.872783403032724, 3.9773431475591554, 3.7556599343877557, 13.452478741120169, 3.7217236471955433], 'rmse_list': [2.4007259214024854, 3.9330451187986037, 3.920820201144674, 3.984066189589817, 1.9943277432656739, 1.937952510870108, 3.667762088947451, 1.9291769351709405], 'mean_mae': 2.5859, 'std_mae': 0.9125, 'mean_mse': 9.6731, 'std_mse': 5.4424, 'mean_rmse': 2.971, 'std_rmse': 0.92}","{'mae_list': [0.7672653409196615, 0.6561640045191648, 0.8086631837155696, 0.7907844121176555, 0.719294260476323, 0.730530784919581, 0.6993470253311285, 0.7385800693034885], 'mse_list': [1.1806337541292051, 0.8359328640866163, 1.16795465948166, 1.0668808491921562, 1.0191838401522335, 0.949594470424143, 0.8296797454802847, 1.0428532429720283], 'rmse_list': [1.086569718945455, 0.9142936421558537, 1.0807195100865257, 1.0328992444532799, 1.0095463536421858, 0.9744713799923234, 0.9108675784548952, 1.0212018620096754], 'mean_mae': 0.7388, 'std_mae': 0.0464, 'mean_mse': 1.0116, 'std_mse': 0.125, 'mean_rmse': 1.0038, 'std_rmse': 0.0627}","{'mae_list': [0.794245786840186, 1.2061831775577072, 1.4014238410417643, 0.7785159475784994, 0.6351554029306029, 0.7370090746945002, 1.0932714141605377, 1.2209867594459731], 'mse_list': [1.2633204763488017, 2.465226235006429, 3.7045060614849166, 1.334184675564246, 0.8691068365826475, 0.9744458216533383, 2.6625517286351443, 2.622325538327801], 'rmse_list': [1.1239753005955255, 1.570103893061357, 1.9247093446764674, 1.1550691215525788, 0.932258996514728, 0.9871402239060763, 1.6317327381146536, 1.619359607476919], 'mean_mae': 0.9833, 'std_mae': 0.2628, 'mean_mse': 1.987, 'std_mse': 0.9528, 'mean_rmse': 1.368, 'std_rmse': 0.3397}","{'mae_list': [1.7094047359244753, 1.4136401151136129, 3.112016721269197, 1.477130723470982, 3.3031382426439784, 3.2916321227309213, 3.268367169265745, 3.243401720325486], 'mse_list': [4.454345679961437, 2.953332625727233, 12.286544179381162, 3.340236988090371, 13.781318596081148, 13.661545745382243, 13.538436151841161, 13.315176521440735], 'rmse_list': [2.110532084561009, 1.7185262947442013, 3.5052167093321294, 1.8276315241564343, 3.712319840218667, 3.6961528303605418, 3.679461394258834, 3.648996645852218], 'mean_mae': 2.6023, 'std_mae': 0.8334, 'mean_mse': 9.6664, 'std_mse': 4.7476, 'mean_rmse': 2.9874, 'std_rmse': 0.8614}","{'mae_list': [1.0957291359725096, 2.1549488726506465, 3.4185465085848334, 0.7216762182503067, 3.0023385197728114, 0.7955397738145346, 3.350555382892907, 0.7589502526884011], 'mse_list': [2.0646436457175974, 6.4522974231847074, 14.645387884493623, 1.0192694628950585, 11.521349075082185, 1.3908630788663514, 14.076550037472206, 0.9745746510771546], 'rmse_list': [1.4368867894575401, 2.5401372843184493, 3.826929302259662, 1.0095887592951194, 3.3943112814063157, 1.1793485824243617, 3.7518728706437012, 0.9872054756114123], 'mean_mae': 1.9123, 'std_mae': 1.1317, 'mean_mse': 6.5181, 'std_mse': 5.6492, 'mean_rmse': 2.2658, 'std_rmse': 1.1766}"
"['feels_like', 'temp_max', 'temp']","{'mae_list': [1.4736073868299442, 1.6032255167445628, 1.4985031646041254, 1.6739672214356662, 1.5245602432065477, 1.3922350819629739, 1.3038167105136094, 1.5450958894593025], 'mse_list': [3.4326959352458655, 3.5124350493508194, 3.4264136324983854, 3.808540663472787, 3.4198118550827648, 3.4973425527767295, 2.757758055601994, 3.662352369481029], 'rmse_list': [1.8527536088875567, 1.8741491534429215, 1.8510574363045533, 1.951548273415953, 1.84927333163131, 1.87011832587586, 1.6606498895318043, 1.9137273498283471], 'mean_mae': 1.5019, 'std_mae': 0.1086, 'mean_mse': 3.4397, 'std_mse': 0.2872, 'mean_rmse': 1.8529, 'std_rmse': 0.08}","{'mae_list': [1.1828789315688633, 1.2897311189477383, 1.4320207050364189, 1.453991552876227, 1.5471401762564907, 1.396872630902358, 1.5362981596846355, 1.6095141131232231], 'mse_list': [2.507622471750682, 2.451200716956236, 3.065808066327542, 3.3575237942617218, 3.6369519484606054, 3.0472461250410268, 4.227111649116509, 3.5742882729925296], 'rmse_list': [1.5835474327441796, 1.5656310922296595, 1.7509449067082443, 1.8323547130022948, 1.9070794289857478, 1.7456363094989251, 2.055994078084008, 1.8905788195662538], 'mean_mae': 1.4311, 'std_mae': 0.1321, 'mean_mse': 3.2335, 'std_mse': 0.5571, 'mean_rmse': 1.7915, 'std_rmse': 0.1552}","{'mae_list': [3.5550010713835487, 3.7121544425039095, 3.4095030181798887, 3.2363915135505517, 3.255445758364493, 3.6572245875248415, 2.481720472516746, 6.865921112854667], 'mse_list': [15.648193581994816, 16.908199411098533, 14.500004058774934, 13.17378521984739, 14.597935733595401, 16.46075073339069, 10.180831175639446, 54.60455010719565], 'rmse_list': [3.9557797691472683, 4.111958099385077, 3.807887085875175, 3.6295709415642214, 3.820724503755198, 4.057185075072456, 3.1907414774060663, 7.389489164157131], 'mean_mae': 3.7717, 'std_mae': 1.224, 'mean_mse': 19.5093, 'std_mse': 13.4118, 'mean_rmse': 4.2454, 'std_rmse': 1.2189}","{'mae_list': [1.1548598371633914, 1.138698372796652, 1.0338919951865853, 1.1035251134411206, 0.9885601603111558, 1.0512775946737172, 1.1363357343637392, 1.1180099388034417], 'mse_list': [2.411539561230061, 2.3736688437872386, 1.9435563078437175, 2.303032841602157, 1.6193557663535914, 1.9332579204696188, 2.3543624141176043, 2.0842824557144444], 'rmse_list': [1.552913249743868, 1.5406715561037787, 1.3941148833018453, 1.51757465766998, 1.2725391020921877, 1.3904164557677023, 1.534393174553903, 1.4437044211729921], 'mean_mae': 1.0906, 'std_mae': 0.0555, 'mean_mse': 2.1279, 'std_mse': 0.2634, 'mean_rmse': 1.4558, 'std_rmse': 0.0925}","{'mae_list': [1.4865505027188948, 1.641582856631645, 1.2923763131723494, 1.4077912421885783, 1.5506189807489845, 1.1551927519112126, 1.4643394558279426, 1.1246348615922468], 'mse_list': [3.2461402445790335, 3.721820599897135, 2.561315340898442, 2.822120106407401, 3.6675404265872307, 2.4966088958924275, 3.7391498311374787, 2.342297237173339], 'rmse_list': [1.8017048161613582, 1.9292020630035454, 1.6004109912451994, 1.6799166962702052, 1.9150823550404381, 1.5800661049122051, 1.9336881421618841, 1.5304565453397685], 'mean_mae': 1.3904, 'std_mae': 0.173, 'mean_mse': 3.0746, 'std_mse': 0.5522, 'mean_rmse': 1.7463, 'std_rmse': 0.1581}","{'mae_list': [3.3288922291467964, 3.5025341269145405, 3.5471531787613304, 3.4576280610775654, 1.6133587, 3.3890494590906797, 1.7262366428571423, 2.577117785703267], 'mse_list': [13.878975612813298, 15.238244370991652, 15.58690334010382, 14.879495649432227, 3.719629648673469, 14.340694400895314, 3.984245521122448, 8.549308582263858], 'rmse_list': [3.7254497195390113, 3.903619393715485, 3.9480252456264537, 3.857394930446224, 1.928634140699959, 3.7869109312070326, 1.9960574944430953, 2.923920071114096], 'mean_mae': 2.8927, 'std_mae': 0.7626, 'mean_mse': 11.2722, 'std_mse': 4.7584, 'mean_rmse': 3.2588, 'std_rmse': 0.8079}","{'mae_list': [3.3298549574005367, 3.319006377842795, 3.475665239922877, 3.4836160998844883, 2.5277673684184476, 1.5873835763585857, 3.291939146264137, 1.8212070666014497], 'mse_list': [13.886284442953334, 13.802406177495891, 15.023410727871134, 15.08714061743484, 8.122842985230076, 3.6717666811082212, 13.594234683516953, 4.256933966041518], 'rmse_list': [3.7264305230278123, 3.715158970689665, 3.8760044798569484, 3.884216860248001, 2.850060172212172, 1.916185450604461, 3.6870360295930054, 2.0632338612095134], 'mean_mae': 2.8546, 'std_mae': 0.7241, 'mean_mse': 10.9306, 'std_mse': 4.5169, 'mean_rmse': 3.2148, 'std_rmse': 0.7718}"
"['feels_like', 'temp_max', 'temp', 'temp_min']","{'mae_list': [1.4479833755911524, 1.5664398716861072, 1.5610326810912822, 1.5313460714285714, 1.5174278958111165, 1.5864216264363982, 1.5736518537610777, 1.320942236414608], 'mse_list': [3.480594946992417, 3.6484888165896607, 3.5331086021086326, 3.7113301639795915, 3.868263929351519, 3.674264901140088, 3.66555131914471, 2.801363230509435], 'rmse_list': [1.8656352663348796, 1.9101017817356385, 1.8796565117352246, 1.9264812908459794, 1.9667902606408034, 1.9168372129996036, 1.9145629577385828, 1.6737273465261404], 'mean_mae': 1.5132, 'std_mae': 0.0834, 'mean_mse': 3.5479, 'std_mse': 0.3024, 'mean_rmse': 1.8817, 'std_rmse': 0.0836}","{'mae_list': [1.4436531204147907, 1.461314742119748, 1.3963576361821446, 1.2116609471247044, 1.4199441424995203, 1.5890235884295372, 1.2201484588022165, 1.1973556367935985], 'mse_list': [3.1441272440245824, 2.993913771347471, 3.201507301925292, 2.570022075441911, 2.838699318216414, 3.6453004546024355, 2.5951763251932194, 2.19151874757441], 'rmse_list': [1.7731687015127982, 1.7302929726920442, 1.789275636095594, 1.6031288393145173, 1.6848440041191985, 1.9092669940588287, 1.6109550971995523, 1.4803779070137495], 'mean_mae': 1.3674, 'std_mae': 0.1333, 'mean_mse': 2.8975, 'std_mse': 0.4216, 'mean_rmse': 1.6977, 'std_rmse': 0.1244}","{'mae_list': [3.506260315549819, 3.668610898754183, 3.6660806135842385, 2.5915770946127785, 4.699084834229359, 1.7049783571428576, 1.5291373000000001, 3.303236998210764], 'mse_list': [15.267474062360806, 16.552907954895073, 16.5324000511515, 10.221560225762305, 27.7463214366892, 3.9200750568367364, 3.720976965, 13.68086286184491], 'rmse_list': [3.9073615218406403, 4.0685265090564515, 4.066005417009611, 3.197117487012685, 5.26747771107664, 1.9799179419452555, 1.9289834019503642, 3.6987650455043655], 'mean_mae': 3.0836, 'std_mae': 1.0048, 'mean_mse': 13.4553, 'std_mse': 7.2695, 'mean_rmse': 3.5143, 'std_rmse': 1.0513}","{'mae_list': [1.2776831351565083, 1.2224674292055064, 1.2357818000606, 1.1255400121895107, 1.0913202355834701, 1.2187035820127936, 1.2263088374908615, 1.2921522763408968], 'mse_list': [2.950490808458335, 2.4915078287115042, 2.1290057720264164, 2.187896762174638, 1.7584885050742312, 2.3493207538998706, 2.619658284856101, 2.5087103693186195], 'rmse_list': [1.7176992776555315, 1.5784510853084754, 1.4591112952843646, 1.4791540697894314, 1.326080127697505, 1.5327494100145238, 1.6185358460213666, 1.58389089564863], 'mean_mae': 1.2112, 'std_mae': 0.0649, 'mean_mse': 2.3744, 'std_mse': 0.3352, 'mean_rmse': 1.537, 'std_rmse': 0.1102}","{'mae_list': [1.3777673868269422, 1.6310145924597128, 1.571352925983155, 1.5671478396768388, 1.586414021221698, 1.173659624024027, 1.3340947653123199, 1.6690055707686287], 'mse_list': [3.3393780579839096, 3.7365592582976985, 3.66495374569086, 3.607635367303711, 3.4928271137971305, 2.70366238150429, 2.7554310803535933, 3.746205698617047], 'rmse_list': [1.8273965245627206, 1.9330181732973175, 1.9144068913610972, 1.8993776263038666, 1.8689106757138316, 1.6442817220611223, 1.6599491198086744, 1.9355117407592874], 'mean_mae': 1.4888, 'std_mae': 0.1623, 'mean_mse': 3.3808, 'std_mse': 0.3963, 'mean_rmse': 1.8354, 'std_rmse': 0.1109}","{'mae_list': [3.195436773098941, 1.1849956263763244, 1.5429121112835955, 1.3519802098390559, 1.2664945826772325, 1.6337743388024821, 3.4537785695598147, 3.4653273588647835], 'mse_list': [12.869615529949243, 2.0676117868540764, 3.3862812490900893, 2.847104275306558, 2.8811581950767238, 3.749475443514326, 14.848900069076466, 14.940814671249406], 'rmse_list': [3.587424637528884, 1.4379192560272904, 1.8401851127237416, 1.687336444016592, 1.6973974770444087, 1.9363562284647746, 3.8534270551129506, 3.865335001167351], 'mean_mae': 2.1368, 'std_mae': 0.9686, 'mean_mse': 7.1989, 'std_mse': 5.4882, 'mean_rmse': 2.4882, 'std_rmse': 1.0039}","{'mae_list': [3.133203481579046, 1.520159980157698, 3.594726497466662, 3.0841507167893223, 3.457668069933739, 1.4551990119345706, 3.5483142331008035, 3.2773460976329174], 'mse_list': [12.409095468059796, 3.7491402071725046, 15.960798533083425, 12.046118926251332, 14.875986794939337, 3.136785658378349, 15.57438689589604, 13.482896767251502], 'rmse_list': [3.5226546052742376, 1.936269662823984, 3.995096811478218, 3.470751925195941, 3.856940081844588, 1.7710973034755455, 3.946439774771185, 3.671906421363636], 'mean_mae': 2.8838, 'std_mae': 0.8242, 'mean_mse': 11.4044, 'std_mse': 4.7815, 'mean_rmse': 3.2714, 'std_rmse': 0.8381}"
