Variable,Main Effects,Total Effects
longitude,0.019808851413610967,-0.02388326405982908
latitude,0.02249293535943153,-0.026221344538950888
temp,0.032652591730376206,-0.033753182776647773
pressure,0.10358201915449389,-0.0876291799647813
humidity,0.5427728862166111,-0.4559810805238304
clouds_all,1.0215131724869098,0.47614838066970866
wind_deg,0.8866669301906585,-0.5762124132772055
wind_speed,0.014508168516127531,-0.016367419959525596
