acquisition_function,mae
ModelVariance,4.171137750733592
ModelVariance,3.7793239375983525
ModelVariance,4.211787607276075
ModelVariance,4.224463986981203
ModelVariance,4.181321375961208
IVR,4.986466606635917
IVR,4.9864666077637665
IVR,4.332729551371532
IVR,4.98646660579687
IVR,4.986466672219829
