,mae_list,mse_list,rmse_list,mean_mae,std_mae,mean_mse,std_mse,mean_rmse,std_rmse
"(0.5,5,50)","[2.334479368340018, 2.8562334034364114, 2.5408531303374, 2.4811324464740427, 2.175976971690941]","[6.921185338325425, 10.41260198291498, 8.057435377376853, 7.7888944311702915, 5.89983110308607]","[2.630814576956237, 3.2268563622998436, 2.8385622024850634, 2.790859084792762, 2.4289567931698723]",2.4777,0.2275,7.816,1.5016,2.7832,0.2641
"(0.5,5,150)","[3.7372313045629335, 3.01818463680782, 3.37305209312191, 3.490724960450641, 3.4645137682663467]","[17.200264852521848, 11.657945827821703, 14.6291042907055, 15.613136687153654, 14.551297756838327]","[4.1473202013495225, 3.4143734165761224, 3.8248012093055896, 3.9513461867006354, 3.814616331538249]",3.4167,0.2329,14.7303,1.809,3.8305,0.2402
"(0.5,5,200)","[3.2511920899271027, 3.3687570885515337, 2.948207032057377, 3.8471368635819716, 3.1425569704287475]","[13.599320876243638, 14.09377708479457, 10.930364439569585, 18.022143593967186, 12.383751819413616]","[3.687725705125537, 3.7541679617186245, 3.3061101674883107, 4.245249532591363, 3.5190555294586665]",3.3116,0.3014,13.8059,2.3746,3.7025,0.3125
"(0.5,5,400)","[3.496297855788379, 3.570603751490751, 3.7416900732868266, 3.383440531409445, 3.671962176041589]","[14.956323840925371, 15.755610473843955, 17.135678677615527, 14.297674691637571, 16.754254208734523]","[3.8673406678136555, 3.969333756922433, 4.139526383249119, 3.781226612045035, 4.093196087256818]",3.5728,0.1265,15.7799,1.0643,3.9701,0.1342
"(0.5,10,50)","[2.2542620636315673, 2.376717505899032, 2.742454646375973, 2.36550760161755, 2.6314976729031234]","[6.769882450542546, 7.485589442914191, 9.79603068663293, 7.353158737647915, 9.019596527644696]","[2.601899777190226, 2.7359805267790542, 3.1298611289692917, 2.711670838735394, 3.003264311985326]",2.4741,0.1824,8.0849,1.1336,2.8365,0.1973
"(0.5,10,150)","[3.375616418005614, 3.3786713514058713, 3.5267325625474792, 3.6282000561604284, 3.404171946272403]","[14.486183566649174, 14.325812482927606, 15.546377232581156, 16.407840944189875, 14.489267482335062]","[3.806071933982485, 3.7849455059389703, 3.9428894522394557, 4.050659322158539, 3.806477043453049]",3.4627,0.0996,15.0511,0.8058,3.8782,0.1029
"(0.5,10,200)","[3.625845471706061, 3.385708207890487, 3.505808900731962, 3.095156605841792, 3.1900906185783153]","[16.011029578168365, 14.243168697548407, 15.40699321582183, 12.287538148335708, 13.31512488846096]","[4.001378459752135, 3.774012281054264, 3.9251742911394176, 3.505358490701872, 3.6489895708895856]",3.3605,0.1958,14.2528,1.3539,3.771,0.1802
"(0.5,10,400)","[3.4759423783583814, 3.3459250949665713, 3.509130709525244, 3.3923666076016286, 3.441987371243717]","[15.280397672003946, 14.00740006148766, 15.351184227957743, 14.759585035704403, 14.703211989227412]","[3.909014923481867, 3.742646130946347, 3.918058732070991, 3.841820536634214, 3.834476755598789]",3.4331,0.0582,14.8204,0.4841,3.8492,0.0632
"(0.5,20,50)","[2.559745714609103, 2.472541726309298, 2.3015771205811184, 2.434345282489488, 2.799161614086651]","[8.799904997396219, 7.7457231974789496, 6.809193502805311, 8.107560421107658, 10.111354405404851]","[2.966463382109447, 2.7831139390041058, 2.60944314036641, 2.8473778149567117, 3.1798355940842056]",2.5135,0.1653,8.3147,1.1042,2.8772,0.1903
"(0.5,20,150)","[3.3418061397477956, 3.4345639845458305, 3.368742685405594, 3.197493672939576, 3.646358739301381]","[14.557638901226827, 14.833882653049127, 14.319568399994692, 12.934654097496622, 16.73617925917648]","[3.8154474051186744, 3.8514779829370864, 3.7841205583325026, 3.5964780129310707, 4.090987565267888]",3.3978,0.1464,14.6764,1.22,3.8277,0.1584
"(0.5,20,200)","[3.3021564310759683, 3.1794036241524757, 3.4167223330038228, 3.500171585672236, 3.4764695889085466]","[13.356063482485723, 12.969461308368595, 14.537729845085828, 15.195615280969749, 15.216352031937635]","[3.654594845189508, 3.60131383086348, 3.812837505727962, 3.8981553690136246, 3.900814278062676]",3.375,0.1194,14.255,0.9327,3.7735,0.1242
"(0.5,20,400)","[3.4926694882132256, 3.4635949249332114, 3.3856684665928807, 3.543700812828836, 3.4018308993208004]","[15.245005941439665, 14.912425691199733, 14.627707026095456, 15.651678264608712, 14.599168484751738]","[3.9044853619189896, 3.8616610015898254, 3.824618546482179, 3.956220199206398, 3.8208858246160324]",3.4575,0.0582,15.0072,0.3978,3.8736,0.0512
"(0.5,50,50)","[2.5200224112388665, 2.6029790159258037, 2.7466265013133415, 2.6170949081861665, 2.636897785300334]","[8.404131233370277, 9.08767489072496, 9.702010161074218, 8.677904866407031, 8.924726347020393]","[2.8989879670964966, 3.0145770666421785, 3.114804995673761, 2.945828383733009, 2.987428048844088]",2.6247,0.0728,8.9593,0.4374,2.9923,0.0727
