,mae_list,mse_list,rmse_list,mean_mae,std_mae,mean_mse,std_mse,mean_rmse,std_rmse
"(1.0,20,200)","[3.29792381453841, 3.33340884535233, 3.3409697763459016, 3.078977348752316, 3.489279595812541]","[13.306400435678777, 13.797518347071868, 14.14598016513731, 12.00463688749853, 14.892919941823958]","[3.6477939135426465, 3.7145010899274036, 3.7611142185710484, 3.4647708275582283, 3.8591346104825055]",3.3081,0.132,13.6295,0.9629,3.6895,0.1317
"(1.0,20,400)","[3.4131295693304025, 3.400239284530763, 3.4136977455234474, 3.5247208801956273, 3.4349586857423455]","[14.564419062876404, 14.311197783282644, 14.569808911499928, 15.584166753082059, 14.912329441040566]","[3.816335816313392, 3.783014377884737, 3.817041905913521, 3.947678653725764, 3.861648539295176]",3.4373,0.0451,14.7884,0.4414,3.8451,0.057
"(1.0,50,50)","[2.7778103277657946, 2.7539713274272, 2.6719294681474617, 2.571015304672843, 2.509059522588642]","[10.45479176625833, 10.515801763205692, 9.402092579599563, 8.598380708119612, 8.66271999934829]","[3.2333870424460986, 3.242807697537073, 3.066283186465262, 2.9322995597516313, 2.943249904331654]",2.6568,0.1034,9.5268,0.8323,3.0836,0.1347
"(1.0,50,150)","[3.407152108345599, 3.2314461935837384, 3.265625917817076, 3.3786010651226084, 3.222480755813198]","[14.366342184455105, 12.808503583822883, 13.127645835271634, 14.17847115237715, 13.491841607017845]","[3.7902957911560287, 3.5788969786545803, 3.6232093281056277, 3.765431071255607, 3.673124229728399]",3.3011,0.0769,13.5946,0.5972,3.6862,0.081
"(1.0,50,200)","[3.4076073517288363, 3.4720530038326585, 3.459005859891196, 3.4042022869535793, 3.355525709844552]","[14.988637004160998, 15.459203827594004, 15.018331037616077, 14.37919716122349, 13.962494648888294]","[3.8715161118302217, 3.9318194042445547, 3.875349150414202, 3.7919911868599443, 3.7366421622746127]",3.4197,0.0419,14.7616,0.5271,3.8415,0.0688
"(1.0,50,400)","[3.527769085643306, 3.447254980884669, 3.499314419499987, 3.468598706336294, 3.472638033116388]","[15.64098435517606, 14.922264162112533, 15.345652948955685, 15.390083954717394, 15.304598385191074]","[3.9548684371513625, 3.8629346567231155, 3.9173527986327303, 3.9230197494681813, 3.9121091990371477]",3.4831,0.0278,15.3207,0.2311,3.9141,0.0296
"(1.0,100,50)","[3.016565966000081, 2.9086076427580365, 2.821924404681425, 2.951658338691183, 3.0654582414911418]","[12.44949394239775, 10.717565109456828, 10.545282774727779, 11.860710110753264, 12.04114776533864]","[3.5283840412287533, 3.2737692511013705, 3.2473501158217877, 3.443938168834229, 3.4700357008737877]",2.9528,0.0847,11.5228,0.7544,3.3927,0.1116
"(1.0,100,150)","[3.3646356352515103, 3.5847816177536793, 3.4236792675321492, 3.3736928554226053, 3.4335409518826445]","[14.256212173233456, 16.061694094771426, 14.462528860295057, 14.674582039148547, 14.930859516941736]","[3.775739950424745, 4.007704342235268, 3.8029631684115817, 3.8307417087489135, 3.8640470386554218]",3.4361,0.0791,14.8772,0.6332,3.8562,0.0812
"(1.0,100,200)","[3.5199515448900107, 3.4731845995330093, 3.469349997407719, 3.543763531720706, 3.4963011196622493]","[15.301081927387026, 14.832312500880423, 15.205437750297138, 15.882768668852133, 15.683168842145335]","[3.9116597407477847, 3.8512741399282944, 3.8994150523247892, 3.985319142659987, 3.960198081175402]",3.5005,0.0282,15.381,0.3691,3.9216,0.0471
"(1.0,100,400)","[3.5680511365467056, 3.456352245117414, 3.4886996657515716, 3.4807405188754763, 3.525074819749842]","[15.867769634218584, 15.089806041064962, 15.08480172292093, 15.349299647174039, 15.656254181701172]","[3.9834369122930244, 3.884559954623556, 3.8839157718623265, 3.917818225386936, 3.95679847625592]",3.5038,0.039,15.4096,0.3105,3.9253,0.0395
"(1.5,5,50)","[1.8850390682375167, 2.038303429324523, 2.3986552723677343, 2.672716828042324, 2.3375660425826474]","[4.586998831768492, 5.361582877121526, 7.687534434097908, 9.308985248804943, 7.124398252572296]","[2.1417280013504265, 2.3155092047153527, 2.772640336231497, 3.0510629703113215, 2.669156843007225]",2.2665,0.2775,6.8139,1.6825,2.59,0.3251
"(1.5,5,150)","[3.1874838864521298, 3.916359736778449, 3.5713750342076938, 3.9630000927917624, 3.1397914653214767]","[12.971708926638895, 19.39315864351917, 15.661986850910482, 19.283867860321276, 12.53830640305662]","[3.601625872663469, 4.403766415640045, 3.9575228174845036, 4.391340098457563, 3.5409471053740154]",3.5556,0.3478,15.9698,2.9516,3.979,0.3702
"(1.5,5,200)","[3.772262134812772, 3.217718506645299, 3.6559007485631008, 3.7255563220785, 3.829088109562738]","[17.28184162769402, 13.446187049063292, 16.5636147880537, 16.624167974515775, 17.868902064200725]","[4.157143445647987, 3.6669042868696877, 4.069842108491889, 4.077274576787265, 4.227162412801373]",3.6401,0.2187,16.3569,1.5315,4.0397,0.1951
"(1.5,5,400)","[3.5737943372748116, 3.3250003624468474, 3.4533583601975706, 3.5825079691244834, 3.2855667664262787]","[15.657832500825426, 13.954964844356745, 14.968994890095136, 15.826910985039573, 13.561035695708052]","[3.9569979151909376, 3.735634463428769, 3.8689785331654574, 3.978305039214511, 3.6825311533927385]",3.444,0.1228,14.7939,0.902,3.8445,0.1177
"(1.5,10,50)","[2.463922244147938, 2.662131085328887, 2.150797934369799, 2.3985512570798906, 2.500017869951749]","[7.9881114324454785, 9.15849642798517, 6.023745370341367, 7.377705389950324, 8.112013484937224]","[2.826324721691667, 3.026300782801533, 2.4543319600945117, 2.716193179792322, 2.848159666334952]",2.4351,0.1666,7.732,1.0285,2.7743,0.1884
"(1.5,10,150)","[3.636839073500716, 3.6633472729412113, 3.1206037651419742, 3.2621329586037446, 3.0993917260859702]","[15.964633531315648, 16.758211431808256, 12.288744735980643, 13.312921949983508, 11.984668635645717]","[3.995576745767205, 4.093679449078574, 3.5055305926465175, 3.648687702446389, 3.461888016046405]",3.3565,0.2463,14.0618,1.9448,3.7411,0.2573
"(1.5,10,200)","[3.403040992933644, 3.3621483225162936, 3.34889586883827, 3.5073214957839065, 3.281764054659444]","[14.443126231593391, 14.512963147568778, 14.102278390665935, 15.187501956551912, 13.5559744661873]","[3.800411324000784, 3.809588317334142, 3.7553000400322123, 3.8971145680556933, 3.6818438948694308]",3.3806,0.0744,14.3604,0.5344,3.7889,0.0705
