latitude,longitude,feels_like,temp,temp_min,temp_max,humidity,clouds_all,wind_deg,pressure,wind_speed
51.33059606532663,-2.173528,273.21,273.21,272.26,274.62,93.0,8.0,2.0,1009.0,0.45
51.33935108542713,-2.173528,273.21,273.21,272.26,274.62,93.0,8.0,2.0,1009.0,0.45
51.348106105527634,-2.173528,273.1,273.1,272.28,274.36,93.0,8.0,2.0,1007.0,0.45
51.35686112562814,-2.173528,273.1,273.1,272.28,274.36,93.0,8.0,2.0,1007.0,0.45
51.365616145728644,-2.173528,273.1,273.1,272.28,274.36,93.0,8.0,2.0,1007.0,0.45
51.374371165829146,-2.173528,273.1,273.1,272.28,274.36,93.0,8.0,2.0,1007.0,0.45
51.38312618592965,-2.173528,273.1,273.1,272.28,274.36,93.0,8.0,2.0,1007.0,0.45
51.39188120603015,-2.173528,272.47,272.47,271.77,273.86,93.0,8.0,2.0,1007.0,0.45
51.40063622613065,-2.173528,272.47,272.47,271.77,273.86,93.0,8.0,2.0,1007.0,0.45
51.40939124623115,-2.173528,272.47,272.47,271.77,273.86,93.0,8.0,2.0,1007.0,0.45
51.41814626633166,-2.173528,272.6,272.6,271.92,274.02,95.0,7.0,2.0,1007.0,0.45
51.42690128643216,-2.173528,272.6,272.6,271.92,274.02,95.0,7.0,2.0,1007.0,0.45
51.435656306532664,-2.173528,272.6,272.6,271.92,274.02,95.0,7.0,2.0,1007.0,0.45
51.444411326633166,-2.173528,272.6,272.6,271.92,274.02,95.0,7.0,2.0,1007.0,0.45
51.45316634673367,-2.173528,272.6,272.6,271.92,274.02,95.0,7.0,2.0,1007.0,0.45
51.46192136683417,-2.173528,272.6,272.6,271.92,274.02,95.0,7.0,2.0,1007.0,0.45
51.47067638693467,-2.173528,272.8,272.8,270.74,274.07,95.0,7.0,2.0,1007.0,0.45
51.47943140703518,-2.173528,272.8,272.8,270.74,274.07,95.0,7.0,2.0,1007.0,0.45
51.48818642713568,-2.173528,272.8,272.8,270.74,274.07,95.0,7.0,2.0,1007.0,0.45
51.49694144723618,-2.173528,272.8,272.8,270.74,274.07,95.0,7.0,2.0,1007.0,0.45
51.50569646733668,-2.173528,272.8,272.8,270.74,274.07,95.0,7.0,2.0,1007.0,0.45
51.514451487437185,-2.173528,268.55,272.16,270.36,273.84,92.0,8.0,12.0,1010.0,2.9
51.52320650753769,-2.173528,268.55,272.16,270.36,273.84,92.0,8.0,12.0,1010.0,2.9
51.53196152763819,-2.173528,268.55,272.16,270.36,273.84,92.0,8.0,12.0,1010.0,2.9
51.54071654773869,-2.173528,268.55,272.16,270.36,273.84,92.0,8.0,12.0,1010.0,2.9
51.5494715678392,-2.173528,268.55,272.16,270.36,273.84,92.0,8.0,12.0,1010.0,2.9
51.5582265879397,-2.173528,268.55,272.16,270.36,273.84,92.0,8.0,12.0,1010.0,2.9
51.5669816080402,-2.173528,268.55,272.16,270.36,273.84,92.0,8.0,12.0,1010.0,2.9
51.5757366281407,-2.173528,268.55,272.16,270.36,273.84,92.0,8.0,12.0,1010.0,2.9
51.584491648241205,-2.173528,268.97,272.49,270.62,273.95,87.0,8.0,13.0,1010.0,2.88
51.593246668341706,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.60200168844221,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.610756708542716,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.61951172864322,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.62826674874372,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.63702176884422,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.64577678894472,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.654531809045224,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.663286829145726,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.67204184924623,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.680796869346736,-2.173528,268.85,272.31,271.09,273.72,90.0,8.0,9.0,1011.0,2.78
51.68955188944724,-2.173528,272.05,272.05,271.24,273.61,93.0,20.0,0.0,1011.0,0.0
51.69830690954774,-2.173528,272.05,272.05,271.24,273.61,93.0,20.0,0.0,1011.0,0.0
51.70706192964824,-2.173528,272.05,272.05,271.24,273.61,93.0,20.0,0.0,1011.0,0.0
51.71581694974874,-2.173528,272.05,272.05,271.24,273.61,93.0,20.0,0.0,1011.0,0.0
51.724571969849244,-2.173528,272.05,272.05,271.24,273.61,93.0,20.0,0.0,1011.0,0.0
51.733326989949745,-2.173528,272.05,272.05,271.24,273.61,93.0,20.0,0.0,1011.0,0.0
51.742082010050254,-2.173528,272.62,272.62,271.7,274.07,90.0,20.0,0.0,1011.0,0.0
51.750837030150755,-2.173528,272.62,272.62,271.7,274.07,90.0,20.0,0.0,1011.0,0.0
51.75959205025126,-2.173528,272.62,272.62,271.7,274.07,90.0,20.0,0.0,1011.0,0.0
